tienda,camion,id_zona,x,y,carga_total
5,1,1714,57,3,139999472
5,1,1715,57,4,139999472
5,1,1716,57,5,139999472
5,1,1717,57,6,139999472
5,1,1718,57,7,139999472
5,1,1719,57,8,139999472
5,1,1720,57,9,139999472
5,1,1721,57,10,139999472
5,1,1722,57,11,139999472
5,1,1723,57,12,139999472
5,1,1660,55,9,139999472
5,2,1660,55,9,139999771
5,2,1723,57,12,139999771
5,2,1724,57,13,139999771
5,2,1741,58,0,139999771
5,2,1742,58,1,139999771
5,2,1743,58,2,139999771
5,2,1744,58,3,139999771
5,2,1745,58,4,139999771
5,2,1746,58,5,139999771
5,2,1747,58,6,139999771
5,2,1748,58,7,139999771
5,2,1749,58,8,139999771
5,2,1750,58,9,139999771
5,2,1751,58,10,139999771
5,2,1752,58,11,139999771
5,2,1753,58,12,139999771
5,2,1754,58,13,139999771
5,2,1755,58,14,139999771
5,2,1771,59,0,139999771
5,2,1772,59,1,139999771
5,2,1773,59,2,139999771
5,2,1774,59,3,139999771
5,2,1775,59,4,139999771
5,2,1776,59,5,139999771
5,2,1777,59,6,139999771
5,2,1778,59,7,139999771
5,2,1779,59,8,139999771
5,2,1780,59,9,139999771
5,2,1781,59,10,139999771
5,2,1782,59,11,139999771
5,2,1783,59,12,139999771
5,2,1784,59,13,139999771
5,2,1785,59,14,139999771
5,2,1801,60,0,139999771
5,2,1802,60,1,139999771
5,2,1803,60,2,139999771
5,2,1804,60,3,139999771
5,2,1805,60,4,139999771
5,2,1806,60,5,139999771
5,2,1807,60,6,139999771
5,2,1808,60,7,139999771
5,2,1809,60,8,139999771
5,2,1810,60,9,139999771
5,2,1811,60,10,139999771
5,2,1812,60,11,139999771
5,2,1813,60,12,139999771
5,2,1814,60,13,139999771
5,2,1815,60,14,139999771
5,2,1831,61,0,139999771
5,2,1832,61,1,139999771
5,2,1833,61,2,139999771
5,2,1834,61,3,139999771
5,2,1835,61,4,139999771
5,2,1836,61,5,139999771
5,2,1837,61,6,139999771
5,2,1838,61,7,139999771
5,2,1839,61,8,139999771
5,2,1840,61,9,139999771
5,2,1841,61,10,139999771
5,2,1842,61,11,139999771
5,2,1843,61,12,139999771
5,2,1844,61,13,139999771
5,2,1845,61,14,139999771
5,2,1846,61,15,139999771
5,2,1861,62,0,139999771
5,2,1862,62,1,139999771
5,2,1660,55,9,139999771
5,3,1660,55,9,139998807
5,3,1862,62,1,139998807
5,3,1863,62,2,139998807
5,3,1864,62,3,139998807
5,3,1865,62,4,139998807
5,3,1866,62,5,139998807
5,3,1867,62,6,139998807
5,3,1868,62,7,139998807
5,3,1869,62,8,139998807
5,3,1870,62,9,139998807
5,3,1871,62,10,139998807
5,3,1872,62,11,139998807
5,3,1873,62,12,139998807
5,3,1874,62,13,139998807
5,3,1875,62,14,139998807
5,3,1876,62,15,139998807
5,3,1891,63,0,139998807
5,3,1892,63,1,139998807
5,3,1893,63,2,139998807
5,3,1894,63,3,139998807
5,3,1895,63,4,139998807
5,3,1896,63,5,139998807
5,3,1897,63,6,139998807
5,3,1898,63,7,139998807
5,3,1899,63,8,139998807
5,3,1900,63,9,139998807
5,3,1901,63,10,139998807
5,3,1902,63,11,139998807
5,3,1903,63,12,139998807
5,3,1904,63,13,139998807
5,3,1905,63,14,139998807
5,3,1906,63,15,139998807
5,3,1921,64,0,139998807
5,3,1922,64,1,139998807
5,3,1923,64,2,139998807
5,3,1924,64,3,139998807
5,3,1925,64,4,139998807
5,3,1926,64,5,139998807
5,3,1927,64,6,139998807
5,3,1928,64,7,139998807
5,3,1929,64,8,139998807
5,3,1930,64,9,139998807
5,3,1931,64,10,139998807
5,3,1932,64,11,139998807
5,3,1933,64,12,139998807
5,3,1934,64,13,139998807
5,3,1935,64,14,139998807
5,3,1936,64,15,139998807
5,3,1937,64,16,139998807
5,3,1951,65,0,139998807
5,3,1952,65,1,139998807
5,3,1953,65,2,139998807
5,3,1954,65,3,139998807
5,3,1955,65,4,139998807
5,3,1956,65,5,139998807
5,3,1957,65,6,139998807
5,3,1958,65,7,139998807
5,3,1959,65,8,139998807
5,3,1960,65,9,139998807
5,3,1961,65,10,139998807
5,3,1962,65,11,139998807
5,3,1963,65,12,139998807
5,3,1964,65,13,139998807
5,3,1965,65,14,139998807
5,3,1966,65,15,139998807
5,3,1967,65,16,139998807
5,3,1981,66,0,139998807
5,3,1982,66,1,139998807
5,3,1983,66,2,139998807
5,3,1660,55,9,139998807
5,4,1660,55,9,139999916
5,4,1983,66,2,139999916
5,4,1984,66,3,139999916
5,4,1985,66,4,139999916
5,4,1986,66,5,139999916
5,4,1987,66,6,139999916
5,4,1988,66,7,139999916
5,4,1989,66,8,139999916
5,4,1990,66,9,139999916
5,4,1991,66,10,139999916
5,4,1992,66,11,139999916
5,4,1993,66,12,139999916
5,4,1994,66,13,139999916
5,4,1995,66,14,139999916
5,4,1996,66,15,139999916
5,4,1997,66,16,139999916
5,4,2011,67,0,139999916
5,4,2012,67,1,139999916
5,4,2013,67,2,139999916
5,4,2014,67,3,139999916
5,4,2015,67,4,139999916
5,4,2016,67,5,139999916
5,4,2017,67,6,139999916
5,4,2018,67,7,139999916
5,4,2019,67,8,139999916
5,4,2020,67,9,139999916
5,4,2021,67,10,139999916
5,4,2022,67,11,139999916
5,4,2023,67,12,139999916
5,4,2024,67,13,139999916
5,4,2025,67,14,139999916
5,4,2026,67,15,139999916
5,4,2027,67,16,139999916
5,4,2028,67,17,139999916
5,4,2041,68,0,139999916
5,4,2042,68,1,139999916
5,4,2043,68,2,139999916
5,4,2044,68,3,139999916
5,4,2045,68,4,139999916
5,4,2046,68,5,139999916
5,4,2047,68,6,139999916
5,4,2048,68,7,139999916
5,4,2049,68,8,139999916
5,4,2050,68,9,139999916
5,4,2051,68,10,139999916
5,4,2052,68,11,139999916
5,4,2053,68,12,139999916
5,4,2054,68,13,139999916
5,4,2055,68,14,139999916
5,4,2056,68,15,139999916
5,4,2057,68,16,139999916
5,4,2058,68,17,139999916
5,4,2071,69,0,139999916
5,4,2072,69,1,139999916
5,4,2073,69,2,139999916
5,4,2074,69,3,139999916
5,4,2075,69,4,139999916
5,4,2076,69,5,139999916
5,4,2077,69,6,139999916
5,4,2078,69,7,139999916
5,4,2079,69,8,139999916
5,4,2080,69,9,139999916
5,4,2081,69,10,139999916
5,4,2082,69,11,139999916
5,4,2083,69,12,139999916
5,4,2084,69,13,139999916
5,4,2085,69,14,139999916
5,4,1660,55,9,139999916
5,5,1660,55,9,6174828
5,5,2085,69,14,6174828
5,5,2086,69,15,6174828
5,5,2087,69,16,6174828
5,5,2088,69,17,6174828
5,5,1660,55,9,6174828
6,1,34,1,3,79999384
6,1,1,0,0,79999384
6,1,2,0,1,79999384
6,1,3,0,2,79999384
6,1,4,0,3,79999384
6,1,5,0,4,79999384
6,1,6,0,5,79999384
6,1,7,0,6,79999384
6,1,8,0,7,79999384
6,1,9,0,8,79999384
6,1,10,0,9,79999384
6,1,11,0,10,79999384
6,1,12,0,11,79999384
6,1,13,0,12,79999384
6,1,14,0,13,79999384
6,1,15,0,14,79999384
6,1,16,0,15,79999384
6,1,31,1,0,79999384
6,1,32,1,1,79999384
6,1,33,1,2,79999384
6,1,34,1,3,79999384
6,1,35,1,4,79999384
6,1,36,1,5,79999384
6,1,37,1,6,79999384
6,1,38,1,7,79999384
6,1,39,1,8,79999384
6,1,40,1,9,79999384
6,1,41,1,10,79999384
6,1,42,1,11,79999384
6,1,43,1,12,79999384
6,1,44,1,13,79999384
6,1,45,1,14,79999384
6,1,61,2,0,79999384
6,1,62,2,1,79999384
6,1,63,2,2,79999384
6,1,64,2,3,79999384
6,1,65,2,4,79999384
6,1,66,2,5,79999384
6,1,67,2,6,79999384
6,1,68,2,7,79999384
6,1,69,2,8,79999384
6,1,34,1,3,79999384
6,2,34,1,3,79998812
6,2,69,2,8,79998812
6,2,70,2,9,79998812
6,2,71,2,10,79998812
6,2,72,2,11,79998812
6,2,73,2,12,79998812
6,2,74,2,13,79998812
6,2,75,2,14,79998812
6,2,91,3,0,79998812
6,2,92,3,1,79998812
6,2,93,3,2,79998812
6,2,94,3,3,79998812
6,2,95,3,4,79998812
6,2,96,3,5,79998812
6,2,97,3,6,79998812
6,2,98,3,7,79998812
6,2,99,3,8,79998812
6,2,100,3,9,79998812
6,2,101,3,10,79998812
6,2,102,3,11,79998812
6,2,103,3,12,79998812
6,2,104,3,13,79998812
6,2,121,4,0,79998812
6,2,122,4,1,79998812
6,2,123,4,2,79998812
6,2,124,4,3,79998812
6,2,125,4,4,79998812
6,2,126,4,5,79998812
6,2,127,4,6,79998812
6,2,128,4,7,79998812
6,2,129,4,8,79998812
6,2,130,4,9,79998812
6,2,131,4,10,79998812
6,2,132,4,11,79998812
6,2,133,4,12,79998812
6,2,134,4,13,79998812
6,2,151,5,0,79998812
6,2,152,5,1,79998812
6,2,153,5,2,79998812
6,2,154,5,3,79998812
6,2,155,5,4,79998812
6,2,34,1,3,79998812
6,3,34,1,3,79998793
6,3,155,5,4,79998793
6,3,156,5,5,79998793
6,3,157,5,6,79998793
6,3,158,5,7,79998793
6,3,159,5,8,79998793
6,3,160,5,9,79998793
6,3,161,5,10,79998793
6,3,162,5,11,79998793
6,3,163,5,12,79998793
6,3,181,6,0,79998793
6,3,182,6,1,79998793
6,3,183,6,2,79998793
6,3,184,6,3,79998793
6,3,185,6,4,79998793
6,3,186,6,5,79998793
6,3,187,6,6,79998793
6,3,188,6,7,79998793
6,3,189,6,8,79998793
6,3,190,6,9,79998793
6,3,191,6,10,79998793
6,3,192,6,11,79998793
6,3,211,7,0,79998793
6,3,212,7,1,79998793
6,3,213,7,2,79998793
6,3,214,7,3,79998793
6,3,215,7,4,79998793
6,3,216,7,5,79998793
6,3,217,7,6,79998793
6,3,218,7,7,79998793
6,3,219,7,8,79998793
6,3,220,7,9,79998793
6,3,221,7,10,79998793
6,3,222,7,11,79998793
6,3,241,8,0,79998793
6,3,242,8,1,79998793
6,3,243,8,2,79998793
6,3,244,8,3,79998793
6,3,245,8,4,79998793
6,3,246,8,5,79998793
6,3,34,1,3,79998793
6,4,34,1,3,79999030
6,4,246,8,5,79999030
6,4,247,8,6,79999030
6,4,248,8,7,79999030
6,4,249,8,8,79999030
6,4,250,8,9,79999030
6,4,251,8,10,79999030
