tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
4,3,54.65028153987288,1,2,44,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
10,3,56.130023514118925,1,2,41,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
6,3,57.29418283327439,1,2,42,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
6,4,58.21913450156632,1,2,42,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
11,1,65.06177259678003,1,2,61,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
5,2,67.55634918610403,1,2,64,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
11,2,68.38477631085021,1,2,64,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
11,3,74.72792206135784,1,2,72,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
5,3,80.00103922030355,1,2,70,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
5,4,91.34455209910442,1,2,70,570,67.33700338633327,0.1181350936602338,29.926262626262623,7562.884154372025
