tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
4,2,43.951532750363846,0,1,38,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
7,1,44.48528137423857,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
9,2,44.54977647648454,0,1,41,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
8,3,46.91268706482924,0,1,42,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
9,3,47.255832815336866,0,1,40,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
7,2,48.43612599385722,0,1,39,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
10,2,48.80983669457533,0,1,43,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
1,2,49.34166020071207,0,1,41,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
1,3,50.32690062720234,0,1,45,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
7,3,51.42094619989748,0,1,43,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
9,4,52.27357041880592,0,1,41,1377,40.733306658587146,0.029581195830491756,29.361616161616162,18325.177965356175
4,3,54.65028153987288,1,2,44,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
10,3,56.130023514118925,1,2,41,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
5,1,56.54977647648454,1,2,53,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
6,3,57.14608673334483,1,2,42,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
6,4,57.64722854478518,1,2,43,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
5,2,61.31370849898475,1,2,59,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
11,1,65.06177259678003,1,2,61,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
11,2,68.38477631085021,1,2,64,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
11,3,74.72792206135784,1,2,72,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
5,3,77.42955328423773,1,2,69,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
5,4,90.87526232687571,1,2,70,618,65.44694471706296,0.1059012050437912,29.926262626262623,8203.123964560154
