id_zona,distancia,p_k (entero óptimo),U_k (entero óptimo),dia
270,12.0,0,-10617.420705882354,1
292,12.0,0,-10617.420705882354,1
293,12.0,0,-10617.420705882354,1
294,12.0,0,-10617.420705882354,1
295,12.0,0,-10617.420705882354,1
296,12.0,0,-10617.420705882354,1
297,12.0,0,-10617.420705882354,1
298,12.0,0,-10617.420705882354,1
299,12.0,0,-10617.420705882354,1
300,12.0,0,-10617.420705882354,1
322,12.0,0,-10617.420705882354,1
323,12.0,0,-10617.420705882354,1
324,12.0,0,-10617.420705882354,1
325,12.0,0,-10617.420705882354,1
326,12.0,0,-10617.420705882354,1
327,12.0,0,-10617.420705882354,1
328,12.0,0,-10617.420705882354,1
329,12.0,0,-10617.420705882354,1
330,12.0,0,-10617.420705882354,1
352,12.0,0,-10617.420705882354,1
353,12.0,0,-10617.420705882354,1
354,12.0,0,-10617.420705882354,1
355,12.0,0,-10617.420705882354,1
356,12.0,0,-10617.420705882354,1
357,12.0,0,-10617.420705882354,1
358,12.0,0,-10617.420705882354,1
359,12.0,0,-10617.420705882354,1
360,12.0,0,-10617.420705882354,1
382,12.0,0,-10617.420705882354,1
383,12.0,0,-10617.420705882354,1
384,12.0,0,-10617.420705882354,1
385,12.0,0,-10617.420705882354,1
386,12.0,0,-10617.420705882354,1
387,12.0,0,-10617.420705882354,1
388,12.0,0,-10617.420705882354,1
389,12.0,0,-10617.420705882354,1
390,12.0,0,-10617.420705882354,1
412,12.0,0,-10617.420705882354,1
413,12.0,0,-10617.420705882354,1
414,12.0,0,-10617.420705882354,1
415,12.0,0,-10617.420705882354,1
416,12.0,0,-10617.420705882354,1
417,12.0,0,-10617.420705882354,1
418,12.0,0,-10617.420705882354,1
442,12.0,0,-10617.420705882354,1
443,12.0,0,-10617.420705882354,1
444,12.0,0,-10617.420705882354,1
445,12.0,0,-10617.420705882354,1
472,12.0,0,-10617.420705882354,1
473,12.0,0,-10617.420705882354,1
1618,14.83,0,-10617.420705882354,1
1619,14.83,0,-10617.420705882354,1
1620,14.83,0,-10617.420705882354,1
1647,14.83,0,-10617.420705882354,1
1648,14.83,0,-10617.420705882354,1
1649,14.83,0,-10617.420705882354,1
1650,14.83,0,-10617.420705882354,1
1676,14.83,0,-10617.420705882354,1
1677,14.83,0,-10617.420705882354,1
1678,14.83,0,-10617.420705882354,1
1679,14.83,0,-10617.420705882354,1
1680,14.83,0,-10617.420705882354,1
1704,14.83,0,-10617.420705882354,1
1705,14.83,0,-10617.420705882354,1
1706,14.83,0,-10617.420705882354,1
